"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,13.0106044352093
0.36,13.0551210891681
0.72,13.0999424168
1.08,13.1450675965967
1.44,13.1904958182342
1.8,13.2362262825731
2.16,13.2822582016585
2.52,13.3285907987199
2.88,13.3752233081713
3.24,13.4221549756114
3.6,13.4693850578231
3.96,13.516912822774
4.32,13.5647375496161
4.68,13.6128585286859
5.04,13.6612750615045
5.4,13.7099864607773
5.76,13.7589920503945
6.12,13.8082911654303
6.48,13.857883152144
6.84,13.9077673679788
7.2,13.957943181563
7.56,14.0084099727088
7.92,14.0591671324132
8.28,14.1102140628578
8.64,14.1615501774085
9,14.2131749006157
9.36,14.2650876682144
9.72,14.317287927124
10.08,14.3697751354485
10.44,14.4225487624762
10.8,14.4756082886802
11.16,14.5289532057177
11.52,14.5825830164307
11.88,14.6364972348458
12.24,14.6906953861735
12.6,14.7451770068095
12.96,14.7999416443336
13.32,14.8549888575102
13.68,14.9103182162881
14.04,14.9659293018007
14.4,15.0218217063658
14.76,15.0779950334859
15.12,15.1371296761466
15.48,15.2123194090706
15.84,15.2878219875806
16.2,15.3636372242346
16.56,15.4397649320036
16.92,15.5162049242723
17.28,15.5929570148386
17.64,15.6700210179136
18,15.7473967481222
18.36,15.8250840205023
18.72,15.9030826505051
19.08,15.9813924539956
19.44,16.0600132472518
19.8,16.1389448469652
20.16,16.2181870702406
20.52,16.2977397345962
20.88,16.3776026579635
21.24,16.4577756586876
21.6,16.5382585555266
21.96,16.6190511676523
22.32,16.7001533146496
22.68,16.7858776996742
23.04,16.8877276744965
23.4,16.9904722112345
23.76,17.0941149136011
24.12,17.1986594070932
24.48,17.3041093389914
24.84,17.4104683783604
25.2,17.5177402160484
25.56,17.6259285646875
25.92,17.7350371586939
26.28,17.8450697542673
26.64,17.9560301293914
27,18.0679220838336
27.36,18.1807494391452
27.72,18.2945160386615
28.08,18.4092257475011
28.44,18.5248824525671
28.8,18.641490062546
29.16,18.7590525079082
29.52,18.877573740908
29.88,18.9970577355834
30.24,19.1255813197205
30.6,19.2756721817036
30.96,19.42814693417
31.32,19.5830100328499
31.68,19.740265855849
32.04,19.8999187036486
32.4,20.0619727991053
32.76,20.2264322874514
33.12,20.3933012362947
33.48,20.5625836356182
33.84,20.7342833977808
34.2,20.9084043575167
34.56,21.0849502719356
34.92,21.2639248205228
35.28,21.445331605139
35.64,21.6291741500206
36,21.8154559017792
36.36,22.004180229402
36.72,22.195350424252
37.08,22.3889697000672
37.44,22.5850411929616
37.8,22.7835679614244
38.16,22.9845529863203
38.52,23.1879991708897
38.88,23.3939093407484
39.24,23.6022862438876
39.6,23.8131325506741
39.96,24.0468396740431
40.32,24.287551832998
40.68,24.5324941688183
41.04,24.7816001250303
