"Distance [mm]","Mag_H [kA_per_meter] - Freq='1MHz' Phase='0deg'"
0,0.145174102318681
0.36,0.146072016581222
0.72,0.147138069864237
1.08,0.148370306224193
1.44,0.1497667909441
1.8,0.151325610533504
2.16,0.153044872728493
2.52,0.154922706491692
2.88,0.156957262012265
3.24,0.159146710705916
3.6,0.161740601370399
3.96,0.165288923505467
4.32,0.169037708280219
4.68,0.17297879790422
5.04,0.177104405205711
5.4,0.181407113631615
5.76,0.185879877247533
6.12,0.190516020737747
6.48,0.195309239405216
6.84,0.200253599171581
7.2,0.205343536577162
7.56,0.210573858780959
7.92,0.21593974356065
8.28,0.221436739312594
8.64,0.227060765051828
9,0.23280811041207
9.36,0.238675435645719
9.72,0.244659771623848
10.08,0.250758519836217
10.44,0.25696945239126
10.8,0.263290712016093
11.16,0.26972081205651
11.52,0.276258636476986
11.88,0.282903439860676
12.24,0.289654847409412
12.6,0.296512854943708
12.96,0.303477828902758
13.32,0.310550506344432
13.68,0.317731994945284
14.04,0.325023773000544
14.4,0.332427689424123
14.76,0.339945963748612
15.12,0.347581186125282
15.48,0.355336317324081
15.84,0.36321468873364
16.2,0.371220002361266
16.56,0.38089698953874
16.92,0.393906244141812
17.28,0.40711368207197
17.64,0.420518935057306
18,0.434121638074986
18.36,0.447921429351259
18.72,0.461917950361452
19.08,0.476110845829978
19.44,0.49049976373033
19.8,0.505084355285079
20.16,0.519864274965878
20.52,0.534839180493464
20.88,0.550008732837651
21.24,0.565372596217339
21.6,0.580930438100502
21.96,0.591455056930637
22.32,0.600275890741189
22.68,0.609234454627302
23.04,0.618324544602487
23.4,0.627540343758049
23.76,0.636876422263075
24.12,0.646327737364446
24.48,0.655889633386825
24.84,0.665557841732669
25.2,0.675328480882218
25.56,0.68818121478065
25.92,0.705668027242488
26.28,0.723474887799669
26.64,0.741604501948258
27,0.760059502453169
27.36,0.778842449348151
27.72,0.797955829935803
28.08,0.817402058787555
28.44,0.837183477743692
28.8,0.857302355913327
29.16,0.877760889674425
29.52,0.898561202673784
29.88,0.917452150063325
30.24,0.924635370116249
30.6,0.931725714387671
30.96,0.93872976879746
31.32,0.945654274288512
31.68,0.952506126826764
32.04,0.959292377401184
32.4,0.966020232023777
32.76,0.972697051729584
33.12,0.979330352576679
33.48,0.985927805646172
33.84,0.992497237042208
34.2,0.999678821901549
34.56,1.02534486799955
34.92,1.05169689245701
35.28,1.07868901833185
35.64,1.10627701685211
36,1.13441830741586
36.36,1.16307195759127
36.72,1.19219868311659
37.08,1.22176084790014
37.44,1.25172246402031
37.8,1.28204919172558
38.16,1.31270833943451
38.52,1.31396383938079
38.88,1.30516016218229
39.24,1.29636369994856
39.6,1.28778676909922
39.96,1.27963359236056
40.32,1.27210029876558
40.68,1.26537492365392
41.04,1.25963740867194
41.4,1.25505960177263
41.76,1.2518052572157
42.12,1.25003003556753
42.48,1.24988150370116
42.84,1.25149913479632
43.2,1.25501430833943
43.56,1.29813967022023
43.92,1.34945409965913
44.28,1.40327436476772
44.64,1.45944618718826
45,1.51782047651434
45.36,1.57825333029097
45.72,1.64060603401447
46.08,1.70474506113259
46.44,1.77054207304444
46.8,1.83787391910049
47.16,1.9066226366026
47.52,1.97667545080399
47.88,2.04792477490926
48.24,2.12026821007441
48.6,2.19360854540675
48.96,2.26785375796505
49.32,2.34291701275936
49.68,2.41869425098112
50.04,2.49955500465487
50.4,2.58749602227655
50.76,2.68208033372726
51.12,2.78290171908021
51.48,2.88958470860068
51.84,2.99886883887661
52.2,3.09948136068061
52.56,3.23958957167726
52.92,3.41932511629682
53.28,3.63878925878718
53.64,3.89805288321364
54,4.19715649345907
54.36,4.53611021322387
54.72,4.91489378602591
55.08,5.3334565752006
55.44,5.79171756390089
55.8,6.2895653550972
56.16,6.82685817157751
56.52,7.40342385594731
56.88,8.01905987062951
57.24,8.67353329786472
57.6,9.3665808397109
57.96,10.0979088180437
58.32,10.1677360399657
58.68,8.98225623777063
59.04,7.86193906026071
59.4,6.72913178750375
59.76,5.55050252485738
60.12,4.33704020296887
60.48,3.14405457777516
60.84,2.07117623050293
61.2,1.26235656766854
61.56,0.905867821078044
61.92,1.23430304782717
62.28,1.37731440913368
62.64,3.7888138275063
63,5.91071499400743
63.36,5.59241707717602
63.72,4.4290161950353
64.08,3.06805641905051
64.44,1.85955962492011
64.8,1.04726151023528
65.16,0.76861159447988
65.52,1.05477321903049
65.88,1.83062354715639
66.24,2.91475356401957
66.6,4.01946807667473
66.96,4.75078571406927
67.32,1.7568407028741
67.68,0.864991370785748
68.04,2.50504711973764
68.4,0.954170622200875
68.76,0.528125994740329
69.12,0.87257380078899
69.48,1.6963597598609
69.84,2.77151474755113
70.2,3.93325479553581
70.56,5.07998109157211
70.92,6.17327997949825
71.28,7.23792295923348
71.64,8.36186668677813
72,9.69625297421354
72.36,8.56276492548129
72.72,7.47007925134994
73.08,6.45955346216025
73.44,5.53045342378348
73.8,4.6827063576705
74.16,3.91690084085174
74.52,3.2342868059372
74.88,2.63677554111648
75.24,2.12693969015878
75.6,1.70801325241285
75.96,1.38389158280705
76.32,1.15913139184928
76.68,0.94254455183513
77.04,0.718627909551192
77.4,0.581415598545438
77.76,0.60314089633733
78.12,0.759281004217387
78.48,1.02804173133703
78.84,1.39035749470855
79.2,1.82989131920513
79.56,2.33303483756083
79.92,2.88890829037058
80.28,3.48936052609023
80.64,4.12896900103647
81,4.80503977938689
81.36,5.51760753317997
81.72,6.26943554231508
82.08,7.06601569455243
82.44,7.91556848551315
82.8,8.82904301867928
83.16,9.2930465934024
83.52,8.11667350885542
83.88,7.07695475097626
84.24,6.04710679438472
84.6,4.96145457717008
84.96,3.81543150089088
85.32,2.66557943057519
85.68,1.62954869472048
86.04,0.886098085293615
86.4,0.675094857730886
86.76,1.29751473093799
87.12,0.837662215828126
87.48,2.15612678179739
87.84,4.34676563500603
88.2,4.90558988200443
88.56,3.93077879457395
88.92,3.13819669476457
89.28,2.50754883861903
89.64,1.88893108605336
90,1.00282990085685
90.36,1.83575170719188
90.72,2.37539115658444
91.08,2.92970013081055
