"Distance [mm]","Mag_H [kA_per_m] - Freq='1MHz' Phase='0deg'"
0,1.77846317604442
0.18,1.78039163345877
0.36,1.7823132879656
0.54,1.78422797684994
0.72,1.78613554096376
0.9,1.78803582472602
1.08,1.78992867612261
1.26,1.79181394670639
1.44,1.79369149159717
1.62,1.79556116948173
1.8,1.79742284261379
1.98,1.79927637681405
2.16,1.80112164147014
2.34,1.80295850953667
2.52,1.80478685753519
2.7,1.80660656555422
2.88,1.80841751724923
3.06,1.81021959984265
3.24,1.81201270412387
3.42,1.81379672444923
3.6,1.81557155874203
3.78,1.81733710849254
3.96,1.81909327875796
4.14,1.82083997816247
4.32,1.82257711889721
4.5,1.82430461672024
4.68,1.82602239095663
4.86,1.82773036449838
5.04,1.82942846380443
5.22,1.83111661890072
5.4,1.8327947633801
5.58,1.83446283440242
5.76,1.83612077269446
5.94,1.83776852254997
6.12,1.83940603182964
6.3,1.84103325196114
6.48,1.84265013793908
6.66,1.84425664832504
6.84,1.84585274524755
7.02,1.84743839440209
7.2,1.84901356505112
7.38,1.85057823002403
7.56,1.8521323657172
7.74,1.85367595209392
7.92,1.85520897268447
8.1,1.8567314145861
8.28,1.85824326846298
8.46,1.85974452854627
8.64,1.86123519263407
8.82,1.86271526209143
9,1.86418474185038
9.18,1.86564364040988
9.36,1.86946175210228
9.54,1.87342060998145
9.72,1.87742262050992
9.9,1.88146780003067
10.08,1.88555616467629
10.26,1.88968773036905
10.44,1.89386251282086
10.62,1.89808052753329
10.8,1.90234178979752
10.98,1.90664631469444
11.16,1.91099411709454
11.34,1.91538521165797
11.52,1.91981961283455
11.7,1.92429733486372
11.88,1.9288183917746
12.06,1.93338279738593
12.24,1.93799056530612
12.42,1.94264170893322
12.6,1.94733624145492
12.78,1.9520741758486
12.96,1.95685552488122
13.14,1.96168030110946
13.32,1.96654851687962
13.5,1.97146018432762
13.68,1.97641531537907
13.86,1.98141392174923
14.04,1.98645601494298
14.22,1.99154160625487
14.4,1.9966707067691
14.58,2.0018433273595
14.76,2.00705947868957
14.94,2.01231917121246
15.12,2.01762241517094
15.3,2.02296922059747
15.48,2.02835959731414
15.66,2.03379355493268
15.84,2.03927110285448
16.02,2.04479225027058
16.2,2.05035700616166
16.38,2.05596537929808
16.56,2.0616173782398
16.74,2.06731301133646
16.92,2.07305228672735
17.1,2.07883521234141
17.28,2.08466179589721
17.46,2.09053204490298
17.64,2.09644596665662
17.82,2.10240356824565
18,2.10840485654724
18.18,2.11444983822824
18.36,2.12053851974512
18.54,2.126670907344
18.72,2.13284700706066
18.9,2.13906682472054
19.08,2.1453303659387
19.26,2.15163763611987
19.44,2.15798864045843
19.62,2.1643833839384
19.8,2.17082187133346
19.98,2.17730410720691
20.16,2.18383009591175
20.34,2.19039984159059
20.52,2.19701334817569
20.7,2.20367061938898
20.88,2.21037165874203
21.06,2.21711646953606
21.24,2.22390505486193
21.42,2.23073741760016
21.6,2.23761356042091
21.78,2.24453348578401
21.96,2.25149719593891
22.14,2.25850469292474
22.32,2.26555597857025
22.5,2.27265105449386
22.68,2.27978992210362
22.86,2.28697258259725
23.04,2.29419903696212
23.22,2.30146928597522
23.4,2.30878333020323
23.58,2.31614117000244
23.76,2.32354280551883
23.94,2.33098823668798
24.12,2.33847746323516
24.3,2.34601048467528
24.48,2.35358730031288
24.66,2.36120790924218
24.84,2.37086657462919
25.02,2.3834581693592
25.2,2.39625475371569
25.38,2.40925641186418
25.56,2.42246322888199
25.74,2.43587529075827
25.92,2.44949268439398
26.1,2.46331549760188
26.28,2.47734381910655
26.46,2.49157773854441
26.64,2.50601734646364
26.82,2.52066273432429
27,2.53551399449818
27.18,2.55057122026897
27.36,2.56583450583213
27.54,2.58130394629493
27.72,2.59697963767647
27.9,2.61286167690765
28.08,2.62895016183119
28.26,2.64524519120163
28.44,2.66174686468531
28.62,2.6784552828604
28.8,2.69537054721686
28.98,2.71249276015649
29.16,2.72982202499289
29.34,2.74735844595148
29.52,2.76510212816948
29.7,2.78305317769594
29.88,2.80121170149171
30.06,2.81957780742947
30.24,2.8381516042937
30.42,2.85693320178069
30.6,2.87592271049856
30.78,2.89512024196724
30.96,2.91452590861844
31.14,2.93413982379575
31.32,2.95396210175452
31.5,2.97399285766192
31.68,2.99423220759696
31.86,3.01468026855042
